,0,1,2,w
0,0,66,0,256500.0
1,0,60,0,256500.0
2,0,60,0,256500.0
3,0,60,0,256500.0
4,0,60,0,256500.0
5,0,60,0,256500.0
6,0,60,0,256500.0
7,0,60,0,256500.0
8,0,60,0,256500.0
9,0,60,0,256500.0
10,0,60,0,256500.0
11,0,60,0,256500.0
12,0,60,0,256500.0
13,0,60,0,256500.0
14,0,60,0,256500.0
15,0,60,0,256500.0
16,0,60,0,256500.0
17,0,60,0,256500.0
18,0,60,0,256500.0
19,0,60,0,256500.0
20,0,60,0,256500.0
21,0,60,0,256500.0
22,0,60,0,256500.0
23,0,60,0,256500.0
24,0,60,0,256500.0
25,0,60,0,256500.0
26,0,60,0,256500.0
27,0,60,0,256500.0
28,0,60,0,256500.0
29,0,60,0,256500.0
30,0,60,0,256500.0
31,0,60,0,256500.0
32,0,60,0,256500.0
33,0,60,0,256500.0
34,0,60,0,256500.0
35,0,60,0,256500.0
36,0,60,0,256500.0
37,0,60,0,256500.0
38,0,60,0,256500.0
39,0,60,0,256500.0
40,0,60,0,256500.0
41,0,60,0,256500.0
42,0,60,0,256500.0
43,0,60,0,256500.0
44,0,60,0,256500.0
45,0,60,0,256500.0
46,0,60,0,256500.0
47,0,60,0,256500.0
48,0,60,0,256500.0
49,0,60,0,256500.0
50,0,60,0,256500.0
51,0,60,0,256500.0
52,0,60,0,256500.0
53,0,60,0,256500.0
54,0,60,0,256500.0
55,0,60,0,256500.0
56,0,60,0,256500.0
57,0,60,0,256500.0
58,0,60,0,256500.0
59,0,60,0,256500.0
60,0,60,0,256500.0
61,0,60,0,256500.0
62,0,60,0,256500.0
63,0,60,0,256500.0
64,0,60,0,256500.0
65,0,60,0,256500.0
66,0,60,0,256500.0
67,0,60,0,256500.0
68,0,60,0,256500.0
69,0,60,0,256500.0
70,0,60,0,256500.0
71,0,60,0,256500.0
72,0,60,0,256500.0
73,0,60,0,256500.0
74,0,60,0,256500.0
75,0,60,0,256500.0
76,0,60,0,256500.0
77,0,60,0,256500.0
78,0,60,0,256500.0
79,0,60,0,256500.0
80,0,60,0,256500.0
81,0,60,0,256500.0
82,0,60,0,256500.0
83,0,60,0,256500.0
84,0,60,0,256500.0
85,0,60,0,256500.0
86,0,60,0,256500.0
87,0,60,0,256500.0
88,0,60,0,256500.0
89,0,60,0,256500.0
90,0,60,0,256500.0
91,0,60,0,256500.0
92,0,60,0,256500.0
93,0,60,0,256500.0
94,0,60,0,256500.0
95,0,60,0,256500.0
96,0,60,0,256500.0
97,0,60,0,256500.0
98,0,60,0,256500.0
99,0,60,0,256500.0
100,0,60,0,256500.0
101,0,60,0,256500.0
102,0,60,0,256500.0
103,0,60,0,256500.0
104,0,60,0,256500.0
105,0,60,0,256500.0
106,0,60,0,256500.0
107,0,60,0,256500.0
108,0,60,0,256500.0
109,0,60,0,256500.0
110,0,60,0,256500.0
111,0,60,0,256500.0
112,0,60,0,256500.0
113,0,60,0,256500.0
114,0,60,0,256500.0
115,0,60,0,256500.0
116,0,60,0,256500.0
117,0,60,0,256500.0
118,0,60,0,256500.0
119,0,60,0,256500.0
120,0,60,0,256500.0
121,0,60,0,256500.0
122,0,60,0,256500.0
123,0,60,0,256500.0
124,0,60,0,256500.0
125,0,60,0,256500.0
126,0,60,0,256500.0
127,0,60,0,256500.0
128,0,60,0,256500.0
129,0,60,0,256500.0
130,0,60,0,256500.0
131,0,60,0,256500.0
132,0,60,0,256500.0
133,0,60,0,256500.0
134,0,60,0,256500.0
135,0,72,0,256500.0
136,0,60,0,228000.0
137,0,55,0,213750.0
138,0,50,0,213750.0
139,0,50,0,213750.0
140,0,50,0,213750.0
141,0,50,0,213750.0
142,0,50,0,213750.0
143,0,50,0,213750.0
144,0,50,0,213750.0
145,0,50,0,213750.0
146,0,50,0,213750.0
147,0,50,0,213750.0
148,0,50,0,213750.0
149,0,50,0,213750.0
150,0,50,0,213750.0
151,0,50,0,213750.0
152,0,50,0,213750.0
153,0,50,0,213750.0
154,0,50,0,213750.0
155,0,50,0,213750.0
156,0,50,0,213750.0
157,0,50,0,213750.0
158,0,50,0,213750.0
159,0,50,0,213750.0
160,0,50,0,213750.0
161,0,50,0,213750.0
162,0,50,0,213750.0
163,0,50,0,213750.0
164,0,50,0,213750.0
165,0,50,0,213750.0
166,0,50,0,213750.0
167,0,50,0,213750.0
168,0,50,0,213750.0
169,0,50,0,213750.0
170,0,50,0,213750.0
171,0,50,0,213750.0
172,0,50,0,213750.0
173,0,50,0,213750.0
174,0,50,0,213750.0
175,0,50,0,213750.0
176,0,50,0,213750.0
177,0,50,0,213750.0
178,0,50,0,213750.0
179,0,50,0,213750.0
180,0,50,0,213750.0
181,0,50,0,213750.0
182,0,50,0,213750.0
183,0,50,0,213750.0
184,0,50,0,213750.0
185,0,50,0,213750.0
186,0,50,0,213750.0
187,0,50,0,213750.0
188,0,50,0,213750.0
189,0,50,0,213750.0
190,0,50,0,213750.0
191,0,50,0,213750.0
192,0,50,0,213750.0
193,0,50,0,213750.0
194,0,50,0,213750.0
195,0,50,0,213750.0
196,0,50,0,213750.0
197,0,50,0,213750.0
198,0,50,0,213750.0
199,0,50,0,213750.0
200,0,50,0,213750.0
201,0,50,0,213750.0
202,0,50,0,213750.0
203,0,50,0,213750.0
204,0,50,0,213750.0
205,0,50,0,213750.0
206,0,50,0,213750.0
207,0,50,0,213750.0
208,0,50,0,213750.0
209,0,50,0,213750.0
210,0,50,0,213750.0
211,0,50,0,213750.0
212,0,50,0,213750.0
213,0,50,0,213750.0
214,0,50,0,213750.0
215,0,50,0,213750.0
216,0,60,0,213750.0
217,0,60,0,213750.0
218,0,60,0,213750.0
219,24,0,24,211680.0
220,24,0,24,211680.0
221,0,0,40,202125.0
222,0,54,0,199500.0
223,0,50,0,199500.0
224,12,40,0,199332.0
225,24,32,0,197568.0
226,0,54,0,192375.0
227,0,54,0,192375.0
228,0,54,0,192375.0
229,0,54,0,192375.0
230,0,54,0,192375.0
231,0,54,0,192375.0
232,0,54,0,192375.0
233,0,54,0,192375.0
234,0,54,0,192375.0
235,0,54,0,192375.0
236,0,54,0,192375.0
237,0,54,0,192375.0
238,0,54,0,192375.0
239,0,54,0,192375.0
240,0,54,0,192375.0
241,0,54,0,192375.0
242,0,54,0,192375.0
243,0,54,0,192375.0
244,0,54,0,192375.0
245,0,54,0,192375.0
246,0,54,0,192375.0
247,0,54,0,192375.0
248,0,54,0,192375.0
249,0,54,0,192375.0
250,0,54,0,192375.0
251,0,54,0,192375.0
252,0,54,0,192375.0
253,0,54,0,192375.0
254,0,54,0,192375.0
255,0,54,0,192375.0
256,0,54,0,192375.0
257,0,54,0,192375.0
258,0,54,0,192375.0
259,0,54,0,192375.0
260,0,54,0,192375.0
261,0,54,0,192375.0
262,0,54,0,192375.0
263,0,54,0,192375.0
264,0,54,0,192375.0
265,0,54,0,192375.0
266,0,54,0,192375.0
267,0,54,0,192375.0
268,0,54,0,192375.0
269,0,54,0,192375.0
270,0,54,0,192375.0
271,0,54,0,192375.0
272,0,54,0,192375.0
273,0,54,0,192375.0
274,0,54,0,192375.0
275,0,54,0,192375.0
276,0,54,0,192375.0
277,0,54,0,192375.0
278,0,54,0,192375.0
279,0,54,0,192375.0
280,0,54,0,192375.0
281,0,54,0,192375.0
282,0,54,0,192375.0
283,0,54,0,192375.0
284,0,54,0,192375.0
285,0,54,0,192375.0
286,0,54,0,192375.0
287,0,54,0,192375.0
288,0,54,0,192375.0
289,0,54,0,192375.0
290,0,54,0,192375.0
291,0,54,0,192375.0
292,0,54,0,192375.0
293,0,54,0,192375.0
294,0,54,0,192375.0
295,0,54,0,192375.0
296,0,54,0,192375.0
297,0,54,0,192375.0
298,0,54,0,192375.0
299,0,54,0,192375.0
300,0,54,0,192375.0
301,0,54,0,192375.0
302,0,54,0,192375.0
303,0,54,0,192375.0
304,0,54,0,192375.0
305,0,54,0,192375.0
306,0,54,0,192375.0
307,0,54,0,192375.0
308,0,54,0,192375.0
309,0,54,0,192375.0
310,0,54,0,192375.0
311,0,54,0,192375.0
312,0,54,0,192375.0
313,0,54,0,192375.0
314,0,54,0,192375.0
315,0,54,0,192375.0
316,0,54,0,192375.0
317,0,54,0,192375.0
318,0,54,0,192375.0
319,0,54,0,192375.0
320,0,54,0,192375.0
321,0,54,0,192375.0
322,0,54,0,192375.0
323,0,54,0,192375.0
324,0,54,0,192375.0
325,0,54,0,192375.0
326,0,54,0,192375.0
327,0,54,0,192375.0
328,0,54,0,192375.0
329,0,54,0,192375.0
330,0,54,0,192375.0
331,0,54,0,192375.0
332,0,54,0,192375.0
333,0,54,0,192375.0
334,0,54,0,192375.0
335,0,54,0,192375.0
336,0,54,0,192375.0
337,0,54,0,192375.0
338,0,54,0,192375.0
339,0,54,0,192375.0
340,0,54,0,192375.0
341,0,54,0,192375.0
342,0,54,0,192375.0
343,0,54,0,192375.0
344,0,54,0,192375.0
345,0,54,0,192375.0
346,0,54,0,192375.0
347,0,54,0,192375.0
348,0,54,0,192375.0
349,0,54,0,192375.0
350,0,54,0,192375.0
351,0,54,0,192375.0
352,0,54,0,192375.0
353,0,54,0,192375.0
354,0,54,0,192375.0
355,0,54,0,192375.0
356,0,54,0,192375.0
357,0,54,0,192375.0
358,0,54,0,192375.0
359,0,54,0,192375.0
360,0,54,0,192375.0
361,0,54,0,192375.0
362,0,54,0,192375.0
363,0,54,0,192375.0
364,0,54,0,192375.0
365,0,54,0,192375.0
366,0,54,0,192375.0
367,0,54,0,192375.0
368,0,54,0,192375.0
369,0,54,0,192375.0
370,0,54,0,192375.0
371,0,54,0,192375.0
372,0,54,0,192375.0
373,0,54,0,192375.0
374,0,54,0,192375.0
